htype,region,Project Type,Bedroom(s),Bathroom(s),Swimming Pool,Parking,Toilet(s),Construction Year,Garage,Nb. Rooms,Air-con,Beachfront,Interior Surface New,Land Surface New,Access for Disabled People,Access to rooftop,Air Conditioning,Alarm System,Automated Garage,Balcony,Basement,Carport,Centralized Ventilation System,Close to Bus Stop,Close to Golf Course,Close to Hospital,Close to School,Close to Shops,Cooking Service,Dressing,Electric Generator,Energy Efficiency - High,Fenced,Fire Alarm System,Fireplace,Fitness Room,Freehold Land,Furnished,Garden,Guarded Parking,House Cleaning,Indoor Spa,Internet/Wi-Fi,Laundry Room,Lift,Located in a private morcellement,Located in a residential complex,Located in a senior residence,Mountain View,Office,Recently Refurbished,River View,Sea Access,Sea View,Secured Parking,Security Bars,Sewage System,Solar Panels,Solar Water Heater,Soundproof,TV Room,Tennis Court,Veranda,Watchman,Water Heater,Water Tank,Yard,price
penthouse,"Péreybère, North",PDS,2,2,Private Pool,Yes,3,,no,,,,104.0,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,"18,745,020"
penthouse,"Péreybère, North",G+2,2,2,Private Pool,,,,no,,,,181.0,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,"17,249,983"
penthouse,"Haute Rive, North",IRS,4,3,Private Pool,Yes,3,,no,4,4.0,Yes,300.0,,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,"65,286,000"
penthouse,"Haute Rive, North",PDS,3,3,Private Pool,Yes,4,,no,,,,220.0,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"46,000,000"
penthouse,"Moka, Center",G+2,4,3,,,3,2013,no,,,,271.0,,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Price N/D
penthouse,"Tamarin, West",RES,3,3,Private Pool,,,2016,no,5,,,325.0,,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,"44,000,000"
penthouse,"Mon Choisy, North",IRS,3,3,Private Pool,Yes,,,no,,,,187.0,,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,"75,000,000"
penthouse,"Moka, Center",Smart City,2,1,,Yes,,,no,,,,108.0,,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"10,500,000"
penthouse,"Beau Bassin, Center",G+2,5,3,,Yes,,,no,,,,464.5,,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,"8,500,000"
penthouse,"Grand Bay, North",RES,3,3,Common Pool,Yes,,,no,,,Yes,452.0,,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,"160,000,000"
penthouse,"Péreybère, North",G+2,3,2,,Yes,2,,no,4,3.0,,186.0,,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,"7,500,000"
penthouse,"Mon Choisy, North",IRS,2,2,Private Pool,,,2018,no,,,,139.0,,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,"30,250,000"
penthouse,"Tamarin, West",RES,3,3,Private Pool,Yes,4,,no,5,3.0,,320.0,,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,"44,200,000"
penthouse,"Pointe aux Canonniers, North",G+2,3,3,Common Pool,Yes,3,,no,,,,300.0,,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,"40,000,000"
penthouse,"Trou aux Biches, North",G+2,2,1,,Yes,1,,no,,,,100.0,,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,"16,500,000"
penthouse,"Quatre Bornes, Center",G+2,3,,,,2,,yes,,,,180.0,,no,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,"9,500,000"
penthouse,"Flic en Flac, West",G+2,3,2,Common Pool,Yes,,,no,,,Yes,387.0,,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,"72,335,000"
penthouse,"Péreybère, North",G+2,2,2,Common Pool,Yes,2,,no,,,,181.0,,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,"17,249,983"
penthouse,"Grand Bay, North",G+2,3,3,Common Pool,Yes,2,,no,,,,209.0,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,"25,000,000"
penthouse,"Flic en Flac, West",G+2,3,2,Common Pool,Yes,2,2007,yes,,,,135.0,,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,"11,900,000"
penthouse,"Tamarin, West",G+2,3,2,Common Pool,Yes,3,,no,4,4.0,,173.0,,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,"16,000,000"
penthouse,"Trou aux Biches, North",PDS,2,2,Common Pool,Yes,2,,no,,,,117.0,,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,"22,168,550"
penthouse,"Bain Boeuf, North",RES,3,3,Common Pool,,,2011,no,,,,174.0,,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,"18,832,500"
penthouse,"Blue Bay, South",G+2,4,4,Private Pool,,,2018,no,,,Yes,375.0,,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,"65,000,000"
penthouse,"Blue Bay, South",G+2,2,2,,,,,no,,2.0,,181.0,,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,"13,500,000"
penthouse,"St Antoine, North",G+2,3,2,Private Pool,,,2021,no,8,,,389.6,,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,"24,000,000"
penthouse,"Trou aux Biches, North",PDS,2,2,Common Pool,Yes,2,,no,,,,117.0,,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,"22,168,550"
penthouse,"Grand Bay, North",G+2,3,3,Common Pool,Yes,2,,no,,,,209.0,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,"25,000,000"
